名前,住所,お店の場所,経度,緯度
トイザらス丸亀,香川県丸亀市蓬莱町56-1,パブリックプラザ丸亀内,133.7845655,34.2941103
フジグラン丸亀,香川県丸亀市川西町南1280-1,,133.8351834,34.2429102
フジグラン十川,香川県高松市十川東町55-1,,134.1078484,34.2716451
いよてつ高島屋,愛媛県松山市湊町5-1-1,,132.7630225,33.83502000000001
プラサカプコン新居浜,愛媛県新居浜市前田町8-8,イオンモール新居浜2F,133.2681493,33.954514
モーリーファンタジー新居浜,愛媛県新居浜市前田町8-8,イオン2F,133.26886,33.9537576
アル・プラザ金沢,石川県金沢市諸江町30-1,,136.6431326,36.5910868
アル・プラザ鹿島,石川県鹿島郡中能登町 井田と部1-1,,136.9078835,36.9698222
モーリーファンタジーかほく,石川県かほく市内日角地内タ25,イオン2F,136.7013195,36.7090239
イオン松任,石川県白山市平松町102-1,,136.5661163,36.5079509
イオン御経塚,石川県石川郡野々市町 御経塚2-91,,136.5986164,36.5489067
アル・プラザベル,福井県福井市花堂南2-16-1,,136.2120847,36.0330338
アピタ福井大和田,福井県福井市大和田町2-1230,,136.2509335,36.096525
モーリーファンタジー鯖江,福井県鯖江市下河端16,字下町16ー1アル・プラザ鯖江2F,136.18957280000004,35.9692274
らんらんらんど武生,福井県越前市横市町28-14-1,エスカモール武生楽市店1F,136.1929874,35.9068595
トイザらス長野,長野県長野市高田1174,ヤングファラオ2F,138.2119488,36.6380149
トイザらス佐久,長野県佐久市岩村田1735-1,,138.4653282,36.2683789
セガ松本,長野県松本市渚1-7-1,,137.955844,36.23325210000001
アピタ岡谷,長野県岡谷市銀座1-1-5,,138.051809,36.0659401
アピタ伊那,長野県伊那市伊那下川原5198,,137.949835,35.8319204
タイトーステーション アイシティ21松本店,長野県東筑摩郡山形村7977,,137.892772,36.1842262
イトーヨーカドー長野,長野県長野市権堂町2201,,138.1915444,36.6533826
イトーヨーカドーアリオ上田,長野県上田市天神3-51,,138.2443897,36.3994441
SOYU Game Field長野店,長野県長野市三輪9-43-24,イオンタウン長野三輪2F,138.207486,36.6697327
パロ諏訪,長野県諏訪市沖田町5-18,ステーションパーク・諏訪1F・2F,138.1283965,36.0054526
イオン東松本,長野県松本市中央4-9-43,,137.9791673,36.2342238
こどもや諏訪,長野県諏訪市沖田町5-19,諏訪ステーションパーク内,138.1286706,36.0049552
トイザらス市川,千葉県市川市鬼高1-1-1,ニッケコルトンプラザイースト館2F,139.9336611,35.7160502
トイザらス市原,千葉県市原市八幡1049-1,,140.1137278,35.5370187
